Testing W = 0.1
Models: BAC, DCS, DS(theta), QBCR, QBPL
36: 0.619206, 0.619504, 8.32776e-41, 1.04667e-48, 0.642381
35.5: 0.595559, 0.595852, 1.371e-46, 9.03066e-55, 0.623125
35: 0.568938, 0.569225, 6.40389e-49, 7.59471e-61, 0.601811
34.5: 0.538882, 0.539159, 7.44602e-51, 6.22579e-67, 0.578232
34: 0.504831, 0.505094, 1.15542e-56, 4.9747e-73, 0.552176
33.5: 0.466117, 0.466359, 5.09754e-59, 3.87466e-79, 0.523418
33: 0.421981, 0.422197, 5.88964e-61, 2.94159e-85, 0.491782
32.5: 0.371701, 0.371883, 8.4508e-67, 1.26103e-87, 0.457144
32: 0.315054, 0.315193, 6.00324e-73, 2.31262e-93, 0.419556
31.5: 0.253643, 0.253733, 4.22389e-79, 9.26789e-96, 0.379315
31: 0.193102, 0.193148, 1.719e-81, 8.61756e-98, 0.337196
30.5: 0.14212, 0.142139, 3.66696e-87, 6.93744e-100, 0.294545
30: 0.104974, 0.104981, 2.30687e-93, 6.1583e-102, 0.253201
29.5: 0.0794086, 0.0794113, 1.46629e-99, 9.19394e-108, 0.215131
29: 0.0616612, 0.0616623, 5.53841e-102, 3.39171e-110, 0.181788
28.5: 0.0489734, 0.0489739, 1.16753e-107, 3.54262e-112, 0.153648
28: 0.0396145, 0.0396147, 6.56594e-114, 4.40891e-118, 0.130486
27.5: 0.0325224, 0.0325225, 2.34993e-116, 1.54117e-120, 0.111612
27: 0.0270381, 0.0270381, 2.65413e-118, 3.1392e-126, 0.0962079
26.5: 0.0227323, 0.0227323, 1.82445e-120, 1.03569e-128, 0.0835641
26: 0.0193029, 0.0193029, 2.82659e-126, 1.22217e-130, 0.0730786
25.5: 0.0165222, 0.0165221, 9.00866e-129, 7.95237e-133, 0.0643038
25: 0.0142146, 0.0142145, 9.963e-131, 6.15909e-135, 0.0569062
24.5: 0.0122463, 0.0122463, 6.4941e-133, 4.30349e-137, 0.0505642
24: 0.0105147, 0.0105146, 9.82255e-139, 3.92068e-143, 0.0451404
23.5: 0.00893802, 0.00893802, 2.87385e-141, 1.16706e-145, 0.040458
23: 0.00744504, 0.00744508, 3.47539e-143, 1.38894e-147, 0.0364002
22.5: 0.00595784, 0.00595784, 2.05912e-145, 8.12636e-150, 0.032877
22: 0.00435288, 0.00435287, 3.12866e-151, 1.23617e-155, 0.0298139
21.5: 0.00223333, 0.00223334, 1.2e-157, 3.30291e-158, 0.0271556
21: 1.08307e-07, 1.08304e-07, 4.88323e-164, 7.19296e-164, 0.0248545
20.5: 4.74813e-08, 4.748e-08, 1.91105e-170, 2.53606e-170, 0.0228521
20: 1.05846e-10, 1.05843e-10, 7.28007e-177, 6.82568e-173, 0.0211193
19.5: 1.05215e-13, 1.05213e-13, 2.69469e-183, 6.77432e-175, 0.0196063
19: 5.91359e-17, 5.91344e-17, 9.69125e-190, 5.71007e-181, 0.0182826
18.5: 2.13453e-20, 2.13448e-20, 3.38565e-196, 1.36739e-183, 0.017115
18: 5.36015e-24, 5.36002e-24, 1.14861e-202, 1.74839e-185, 0.0160778
17.5: 6.81615e-25, 6.81598e-25, 2.78265e-205, 8.10334e-188, 0.0151469
17: 1.15535e-28, 1.15532e-28, 6.21417e-211, 5.23421e-190, 0.0143109
16.5: 1.28698e-32, 1.28694e-32, 1.61424e-217, 2.9017e-192, 0.0135444
16: 1.15859e-36, 1.15856e-36, 5.05302e-224, 1.18373e-194, 0.0128394
15.5: 8.59185e-41, 8.59161e-41, 1.46224e-230, 1.03475e-196, 0.0121924
15: 5.54552e-42, 5.54536e-42, 3.20537e-233, 9.38492e-203, 0.0115886
14.5: 4.3716e-43, 4.37148e-43, 3.87218e-235, 2.20763e-209, 0.0110253
14: 2.71521e-47, 2.71514e-47, 2.58255e-241, 4.78261e-212, 0.010496
13.5: 1.29563e-48, 1.2956e-48, 4.87391e-244, 6.23988e-214, 0.00999596
13: 8.42732e-50, 8.42712e-50, 7.11398e-246, 2.61111e-216, 0.00951368
12.5: 3.73568e-54, 3.73559e-54, 3.88874e-252, 4.15097e-222, 0.00906937
12: 1.37141e-55, 1.37138e-55, 6.89159e-255, 7.09432e-229, 0.00863679
11.5: 7.64362e-57, 7.64343e-57, 1.01211e-256, 1.46308e-231, 0.00822142
11: 2.56402e-61, 2.56395e-61, 5.05838e-263, 1.86664e-233, 0.00782113
10.5: 7.41852e-63, 7.41831e-63, 8.31841e-266, 1.02669e-239, 0.00743408
10: 3.68934e-64, 3.68924e-64, 1.29901e-267, 1.60729e-242, 0.00705861

Testing W = 0.6
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.695618, 0.69594, 8.60247e-19, 1.02888e-08, 0.706619
39.5: 0.679766, 0.680092, 6.95465e-25, 9.33936e-15, 0.692887
39: 0.662073, 0.662401, 5.80701e-31, 8.57986e-25, 0.677668
38.5: 0.642304, 0.642632, 2.74186e-33, 6.60072e-31, 0.660821
38: 0.620182, 0.620508, 2.95363e-35, 3.07021e-33, 0.642172
37.5: 0.595375, 0.595696, 4.34037e-41, 3.24568e-35, 0.621538
37: 0.56748, 0.567793, 3.23618e-47, 4.47927e-41, 0.59871
36.5: 0.536011, 0.536312, 2.39656e-53, 3.26308e-47, 0.573463
36: 0.500375, 0.500659, 1.73172e-59, 2.54391e-57, 0.54556
35.5: 0.459862, 0.460122, 1.22212e-65, 5.06623e-60, 0.514763
35: 0.413665, 0.413895, 5.13166e-68, 2.34285e-62, 0.48087
34.5: 0.361045, 0.361235, 5.41246e-70, 4.13932e-68, 0.443768
34: 0.301931, 0.302072, 7.02885e-76, 1.62873e-70, 0.403546
33.5: 0.238632, 0.238719, 2.75467e-78, 2.73138e-76, 0.360663
33: 0.178248, 0.178289, 5.257e-84, 1.03991e-78, 0.316172
32.5: 0.129812, 0.129827, 1.95769e-86, 1.99071e-84, 0.271857
32: 0.0957499, 0.0957555, 3.75133e-92, 1.13692e-90, 0.230014
31.5: 0.0726011, 0.0726033, 1.34569e-94, 4.25999e-93, 0.192744
31: 0.0565605, 0.0565614, 1.43885e-96, 4.43322e-95, 0.16119
30.5: 0.0450821, 0.0450825, 9.83066e-99, 3.06162e-97, 0.135363
30: 0.0365906, 0.0365908, 1.41553e-104, 2.3447e-99, 0.11455
29.5: 0.0301097, 0.0301098, 4.75944e-107, 1.46183e-101, 0.0978137
29: 0.0250344, 0.0250345, 4.83211e-109, 1.18817e-103, 0.0842773
28.5: 0.0209875, 0.0209875, 5.18069e-115, 1.42954e-109, 0.0732195
28: 0.0177232, 0.0177232, 1.67147e-117, 4.57516e-112, 0.0640884
27.5: 0.0150661, 0.015066, 3.12324e-123, 7.75087e-118, 0.0564623
